ID,Épica
E01,"Se requiere contar con un sistema de autenticación que permita el acceso mediante registro y login, diferenciando perfiles de usuario según su rol."
E02,"Se requiere contar un catálogo de productos alimenticios organizados por tienda, filtrables por composición nutricional y cantidad de sellos, con un máximo de dos sellos por producto."
E03,Se requiere la integración de un sistema de geolocalización que permita visualizar supermercados y tiendas cercanas en un mapa interactivo y preciso.
E04,"Se requiere que los usuarios puedan crear y gestionar listas de compras personalizadas con información detallada sobre los productos, incluyendo precios y datos nutricionales."
E05,Se requiere crear un módulo de inteligencia artificial que personalice sugerencias de menús y colaciones saludables para cada usuario.
E06,"Se requiere que los usuarios puedan registrar y actualizar sus datos nutricionales, para personalizar las recomendaciones de la aplicación."
E07,"Se requiere que el sistema permita realizar búsquedas avanzadas de productos según criterios como nombre, tipo, tienda, valor nutricional y cantidad de sellos."
E08,"Se requiere que la aplicación tenga una interfaz intuitiva, con una navegación fluida mediante menús desplegables, botones accesibles y estructura amigable para el usuario."
E09,"Se requiere que la aplicación permita guardar el historial de compras y recomendaciones previas, para que el usuario pueda revisar sus decisiones alimentarias anteriores."
E10,"Se requiere que la aplicación ofrezca notificaciones personalizadas para recordar compras pendientes, y sugerir nuevos productos saludable, relacionados al perfil del usuario."
